configuration,n_agents,accuracy,miscount,delta_pp,fp,fn,anomaly
Full 5-agent ensemble (baseline),5,0.999075,2,0.000000,1,1,
Remove Visual (XceptionNet),4,0.998150,4,-0.092507,1,3,
Remove Audio (FreqNet),4,0.999075,2,0.000000,1,1,
Remove Audio Forensics (ECAPA),4,0.995375,10,-0.370028,0,10,
Remove Cross-Modal (Lip-Sync),4,0.997687,5,-0.138760,1,4,
Remove Facial Biometric (Quality),4,0.986586,29,-1.248844,1,28,
Top-3 (Biometric + ECAPA + Cross-Modal),3,0.998612,3,-0.046253,1,2,
Audio only (FreqNet + ECAPA),2,0.980574,42,-1.850139,1,41,
Visual only (XceptionNet + Biometric),2,0.993062,15,-0.601295,1,14,
Single best agent (Cross-Modal),1,0.980111,43,-1.896392,4,39,
