epoch,train_loss,train_auc,val_loss,val_auc,val_acc,lr
1,4.8322611,0.57757642,2.1330424,0.67255137,0.62184874,0.000050510296
2,4.2368636,0.60386213,2.0411927,0.72590213,0.67647059,0.000081580908
3,3.8461719,0.64546576,1.4017569,0.82243486,0.74789916,0.00013185116
4,3.1642992,0.70803991,1.1756939,0.87684486,0.81092437,0.00019911958
5,2.1298299,0.78439728,0.88980996,0.91331827,0.84453782,0.00028044029
6,1.6596615,0.83448163,0.67395105,0.93199633,0.88235294,0.00037225201
7,1.2177729,0.88728163,0.60801586,0.94619024,0.90756303,0.00047053404
8,1.1056973,0.89621769,0.47405231,0.95734764,0.92436975,0.00057098233
9,0.74503649,0.92856054,0.42440827,0.97277735,0.92857143,0.00066919795
10,0.4877696,0.96071837,0.33832314,0.97221241,0.94117647,0.00076087977
11,0.40799502,0.9704381,0.25200649,0.98298143,0.95378151,0.00084201276
12,0.37751014,0.97084082,0.25593811,0.98273427,0.94117647,0.00090904388
13,0.20401095,0.98766621,0.27028227,0.98382883,0.94537815,0.00095903763
14,0.21506703,0.98617143,0.24510156,0.98665348,0.95378151,0.00098980466
15,0.24962504,0.98364989,0.29788434,0.98312266,0.94957983,0.00099999954
16,0.19821426,0.98969252,0.23938032,0.98933691,0.94957983,0.00099792574
17,0.19353583,0.99006621,0.23764113,0.98852482,0.95378151,0.00099184295
18,0.17102641,0.98999728,0.22358043,0.98760681,0.96218487,0.00098180015
19,0.085956841,0.99690159,0.25972185,0.99018431,0.95798319,0.0009678782
20,0.093877441,0.99704127,0.21248699,0.99011369,0.96218487,0.00095018918
21,0.073039264,0.99720998,0.25871376,0.98979592,0.95378151,0.00092887551
22,0.095114648,0.99611066,0.1866186,0.99304428,0.96218487,0.00090410881
23,0.071325063,0.99669478,0.26593015,0.99170256,0.96218487,0.00087608848
24,0.045805947,0.99907302,0.22874373,0.99110232,0.97058824,0.00084504013
25,0.068561781,0.99841814,0.23408027,0.9871478,0.96638655,0.00081121372
26,0.10591178,0.99635374,0.29735773,0.9884189,0.96218487,0.00077488163
27,0.10701185,0.99426757,0.29251451,0.9884189,0.97058824,0.00073633636
28,0.063348341,0.99854694,0.23698445,0.99131417,0.96638655,0.00069588827
29,0.061676367,0.99791202,0.19305942,0.98750088,0.9789916,0.00065386302
