filepath,ground_truth,system_verdict,final_score,score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
zh_41_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9987139791250229,1.0,0.9997324347496033,0.9952840209007263
zh_113_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9590099334716797,0.8916015625,0.9997331500053406,0.9882245063781738
es_17_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9978323370218277,1.0,0.9992788434028625,0.9924831986427307
ru_102_label_real.npz,Real,Real,0.0006110160553362221,0.0,3.533771086949855e-05,0.0023875238839536905
en_121_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.6470508098602294,0.0011882781982421875,0.9955641031265259,0.9936370849609375
zh_90_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9984881192445755,1.0,0.9981545805931091,0.9969051480293274
zh_4_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9949306786060333,1.0,0.999098539352417,0.9811650514602661
fr_105_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9983509331941605,1.0,0.9998915195465088,0.9935773015022278
es_118_to_en_Bark_label_fake.npz,Fake,Deepfake,0.648688542842865,0.0013093948364257812,0.9977838397026062,0.996466875076294
fr_25_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.9987441569566726,1.0,0.999657154083252,0.9955251812934875
ja_40_to_en_Vall_label_fake.npz,Fake,Deepfake,0.6488008588552475,0.0021572113037109375,0.9997321963310242,0.992611825466156
fr_9_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9956626951694488,1.0,0.9957626461982727,0.9894305467605591
en_122_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9962390452623368,1.0,0.9998555183410645,0.9851873517036438
ru_47_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9959405153989792,1.0,0.9974060654640198,0.9879123568534851
fr_28_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9955792695283889,1.0,0.9998461008071899,0.982563316822052
zh_53_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9913535624742508,1.0,0.992809534072876,0.9769189953804016
zh_27_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9865587800741196,0.98876953125,0.9790828824043274,0.9954251646995544
es_19_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9935474276542664,1.0,0.9912659525871277,0.9881641864776611
