Visual,FreqNet,ECAPA,CrossModal,Biometric,auc,margin,err_tau,acc_tau
0.0,0.0,0.0,0.0,1.0,0.99985074131812,-0.32996899999999996,15,99.30619796484737
0.0,0.0,0.0,0.05,0.95,0.9998673256161067,-0.27978145,14,99.35245143385754
0.0,0.0,0.0,0.1,0.9,0.99991293243557,-0.22959389999999996,13,99.39870490286772
0.0,0.0,0.0,0.15,0.85,0.9999295167335567,-0.20549289999999992,12,99.44495837187789
0.0,0.0,0.0,0.2,0.8,0.9999336628080533,-0.19756219999999997,9,99.58371877890842
0.0,0.0,0.0,0.25,0.75,0.99993780888255,-0.1896315,8,99.6299722479186
0.0,0.0,0.0,0.3,0.7,0.9999461010315434,-0.1817008,8,99.6299722479186
0.0,0.0,0.0,0.35,0.65,0.99995024710604,-0.1737701,8,99.6299722479186
0.0,0.0,0.0,0.4,0.6,0.9999419549570466,-0.20954060000000002,7,99.67622571692877
0.0,0.0,0.0,0.45,0.55,0.99993780888255,-0.26140355000000004,7,99.67622571692877
0.0,0.0,0.0,0.5,0.5,0.99992537065906,-0.3132665,9,99.58371877890842
0.0,0.0,0.0,0.55,0.45,0.9999212245845633,-0.3651294500000001,10,99.53746530989824
0.0,0.0,0.0,0.6,0.4,0.99991293243557,-0.4169924,9,99.58371877890842
0.0,0.0,0.0,0.65,0.35,0.9998963481375833,-0.46885535000000006,7,99.67622571692877
0.0,0.0,0.0,0.7,0.3,0.99988805598859,-0.5207183,8,99.6299722479186
0.0,0.0,0.0,0.75,0.25,0.9998590334671134,-0.57258125,9,99.58371877890842
0.0,0.0,0.0,0.8,0.2,0.99983830309463,-0.6244442,10,99.53746530989824
0.0,0.0,0.0,0.85,0.15,0.9998051344986567,-0.67630715,10,99.53746530989824
0.0,0.0,0.0,0.9,0.1,0.9997346512322134,-0.7281701000000002,10,99.53746530989824
0.0,0.0,0.0,0.95,0.05,0.9996434375932867,-0.78003305,11,99.49121184088807
0.0,0.0,0.0,1.0,0.0,0.9994734485389234,-0.8318960000000001,11,99.49121184088807
0.0,0.0,0.05,0.0,0.95,0.9998797638395966,-0.26347054999999997,13,99.39870490286772
0.0,0.0,0.05,0.05,0.9,0.9999046402865767,-0.213283,13,99.39870490286772
0.0,0.0,0.05,0.1,0.85,0.9999295167335567,-0.16309544999999998,12,99.44495837187789
0.0,0.0,0.05,0.15,0.8,0.99993780888255,-0.14402864999999998,9,99.58371877890842
0.0,0.0,0.05,0.2,0.75,0.9999461010315434,-0.13609794999999997,8,99.6299722479186
0.0,0.0,0.05,0.25,0.7,0.9999585392550333,-0.12816724999999995,8,99.6299722479186
0.0,0.0,0.05,0.3,0.65,0.9999709774785234,-0.12023654999999994,8,99.6299722479186
0.0,0.0,0.05,0.35,0.6,0.9999709774785234,-0.11794579999999999,7,99.67622571692877
0.0,0.0,0.05,0.4,0.55,0.9999668314040266,-0.16980874999999998,7,99.67622571692877
0.0,0.0,0.05,0.45,0.5,0.9999585392550333,-0.22167170000000008,6,99.72247918593895
0.0,0.0,0.05,0.5,0.45,0.9999419549570466,-0.27353465,8,99.6299722479186
0.0,0.0,0.05,0.55,0.4,0.9999336628080533,-0.32539760000000006,7,99.67622571692877
0.0,0.0,0.05,0.6,0.35,0.9999336628080533,-0.3772605499999999,7,99.67622571692877
0.0,0.0,0.05,0.65,0.3,0.99991293243557,-0.4291235000000001,7,99.67622571692877
0.0,0.0,0.05,0.7,0.25,0.9999046402865767,-0.48098645000000007,8,99.6299722479186
0.0,0.0,0.05,0.75,0.2,0.9998756177651,-0.5328494,8,99.6299722479186
0.0,0.0,0.05,0.8,0.15,0.9998465952436233,-0.58471235,10,99.53746530989824
0.0,0.0,0.05,0.85,0.1,0.9998341570201333,-0.6365753000000001,10,99.53746530989824
0.0,0.0,0.05,0.9,0.05,0.99980098842416,-0.68843825,10,99.53746530989824
0.0,0.0,0.05,0.95,0.0,0.99968904441275,-0.7403012,11,99.49121184088807
0.0,0.0,0.1,0.0,0.9,0.99991293243557,-0.19697209999999998,12,99.44495837187789
0.0,0.0,0.1,0.05,0.85,0.9999295167335567,-0.14678454999999996,12,99.44495837187789
0.0,0.0,0.1,0.1,0.8,0.99995024710604,-0.09659699999999999,9,99.58371877890842
0.0,0.0,0.1,0.15,0.75,0.9999668314040266,-0.08256439999999998,8,99.6299722479186
0.0,0.0,0.1,0.2,0.7,0.99997512355302,-0.07463369999999997,8,99.6299722479186
0.0,0.0,0.1,0.25,0.65,0.9999834157020133,-0.06670299999999996,7,99.67622571692877
0.0,0.0,0.1,0.3,0.6,0.9999834157020133,-0.058772299999999944,7,99.67622571692877
0.0,0.0,0.1,0.35,0.55,0.9999834157020133,-0.07821394999999998,7,99.67622571692877
0.0,0.0,0.1,0.4,0.5,0.9999834157020133,-0.13007690000000005,5,99.76873265494912
0.0,0.0,0.1,0.45,0.45,0.9999792696275167,-0.18193985000000007,3,99.86123959296947
0.0,0.0,0.1,0.5,0.4,0.9999709774785234,-0.23380279999999998,4,99.81498612395929
0.0,0.0,0.1,0.55,0.35,0.9999585392550333,-0.28566575,7,99.67622571692877
0.0,0.0,0.1,0.6,0.3,0.9999543931805367,-0.33752869999999996,7,99.67622571692877
0.0,0.0,0.1,0.65,0.25,0.99992537065906,-0.3893916500000001,7,99.67622571692877
0.0,0.0,0.1,0.7,0.2,0.9999170785100666,-0.44125459999999994,8,99.6299722479186
0.0,0.0,0.1,0.75,0.15,0.9998963481375833,-0.49311755,8,99.6299722479186
0.0,0.0,0.1,0.8,0.1,0.9998673256161067,-0.5449805000000001,10,99.53746530989824
0.0,0.0,0.1,0.85,0.05,0.9998465952436233,-0.5968434499999999,10,99.53746530989824
0.0,0.0,0.1,0.9,0.0,0.9998175727221467,-0.6487064000000001,10,99.53746530989824
0.0,0.0,0.15,0.0,0.85,0.9999461010315434,-0.13047365,12,99.44495837187789
0.0,0.0,0.15,0.05,0.8,0.99995024710604,-0.08028609999999997,9,99.58371877890842
0.0,0.0,0.15,0.1,0.75,0.9999834157020133,-0.030098549999999946,8,99.6299722479186
0.0,0.0,0.15,0.15,0.7,0.9999958539255034,-0.02110014999999993,8,99.6299722479186
0.0,0.0,0.15,0.2,0.65,0.9999958539255034,-0.013169450000000027,7,99.67622571692877
0.0,0.0,0.15,0.25,0.6,0.9999958539255034,-0.005238750000000014,7,99.67622571692877
0.0,0.0,0.15,0.3,0.55,1.0,0.0026919499999999985,5,99.76873265494912
