agent,delta,auc,ap,acc_tau,err_tau,margin
Visual,-0.1,0.9999958539255034,0.9999997607644056,99.95374653098983,1.0,-0.005962882067251485
Visual,-0.05,1.0,1.0,100.0,0.0,0.013873674092648836
Visual,0.05,1.0,1.0,100.0,0.0,0.019720313361003217
Visual,0.1,1.0,1.0,99.90749306197965,2.0,0.0005093940999358337
FreqNet,-0.1,0.9999917078510067,0.999999521762668,99.86123959296947,3.0,-0.010688397774679892
FreqNet,-0.05,1.0,1.0,99.90749306197965,2.0,0.03284629039760484
FreqNet,0.05,1.0,1.0,99.95374653098983,1.0,0.0288509771316533
FreqNet,0.1,1.0,1.0,99.86123959296947,3.0,0.02712572822135617
ECAPA,-0.1,0.99996268532953,0.9999978459421612,99.76873265494912,5.0,-0.06487024047722428
ECAPA,-0.05,0.9999958539255034,0.9999997607644056,99.90749306197965,2.0,-0.009646806767896587
ECAPA,0.05,0.9999958539255034,0.9999997607644056,99.95374653098983,1.0,-0.0005924363580389058
ECAPA,0.1,0.9999917078510067,0.9999995214117683,99.95374653098983,1.0,-0.030839989040528537
CrossModal,-0.1,0.99998756177651,0.9999992824100308,99.86123959296947,3.0,-0.06200609886582242
CrossModal,-0.05,0.9999958539255034,0.9999997607644056,99.90749306197965,2.0,-0.00798364739411661
CrossModal,0.05,0.9999958539255034,0.9999997607644056,99.95374653098983,1.0,-0.016415728245019245
CrossModal,0.1,0.9999792696275167,0.9999988026504527,99.90749306197965,2.0,-0.05929252749774605
Biometric,-0.1,0.9999834157020133,0.999999042940236,99.81498612395929,4.0,-0.06482374713393962
Biometric,-0.05,0.9999958539255034,0.9999997607644056,99.90749306197965,2.0,-0.014522432361876503
Biometric,0.05,1.0,1.0,99.95374653098983,1.0,0.01465716525646199
Biometric,0.1,0.99998756177651,0.9999992819419736,99.95374653098983,1.0,-0.02300063391554763
