video_id,n,real,fake,accuracy,recall,specificity,min_fake_score,max_real_score,ground_truth
0Y5thnRlKNY,5,0,5,0.0,0.0,,0.19586620000000002,,Fake
4FnJdXtPkA8,1,0,1,1.0,1.0,,0.5756392,,Fake
4jbzOKhc_f4,4,4,0,1.0,,1.0,,0.2839708,Real
8Xeh7TVPp-M,5,5,0,1.0,,1.0,,0.0979168,Real
AEu6wVp_Edw,5,5,0,1.0,,1.0,,0.0794988,Real
Dufpc8vVH8I,1,0,1,0.0,0.0,,0.2733436,,Fake
EnLA3Svbda8,1,1,0,1.0,,1.0,,0.1938226,Real
KqDI2h3x6vA,5,5,0,1.0,,1.0,,0.0478176,Real
L4XhZ4kC51k,5,0,5,0.0,0.0,,0.0779984,,Fake
OBgRHikjYSA,5,0,5,0.0,0.0,,0.152615,,Fake
QuR5JMl-1v8,5,0,5,0.0,0.0,,0.0850844,,Fake
Sjla9lWgEvs,5,5,0,1.0,,1.0,,0.215226,Real
_dSRnKy10lA,1,1,0,1.0,,1.0,,0.09378840000000002,Real
cT9Uw2jzMUc,5,5,0,1.0,,1.0,,0.1579224,Real
g4xrYkhn4_E,2,0,2,0.0,0.0,,0.1595496,,Fake
hcndfkU57W8,5,0,5,0.0,0.0,,0.1276558,,Fake
iwYxjeqGYDM,5,5,0,1.0,,1.0,,0.14586539999999998,Real
lGO9j_x8gp0,3,3,0,1.0,,1.0,,0.10573139999999999,Real
m0fdgkJGxHs,1,0,1,0.0,0.0,,0.1843926,,Fake
mZcridN9hq0,2,2,0,1.0,,1.0,,0.06799920000000001,Real
n-jo7tfhsvQ,5,5,0,1.0,,1.0,,0.075879,Real
nDZQKKpAbWo,5,0,5,0.2,0.2,,0.17322400000000002,,Fake
p0JaIfhrNoU,5,0,5,0.0,0.0,,0.10244919999999999,,Fake
pxPzCFM0qE4,5,0,5,0.2,0.2,,0.195834,,Fake
wg1pBNepK-E,5,5,0,1.0,,1.0,,0.2552584,Real
yaK_SdNfcO0,4,0,4,0.0,0.0,,0.12408280000000001,,Fake
